OTU_ID	SRR10153291	SRR10153292	SRR10153293	SRR10153294	SRR10153295	SRR10153302	SRR10153313	SRR10153324	SRR10153325
b03835f48f92e1e9193204bc3ed33763	0.0	0.0	0.0	0.0	0.0	0.0	48.0	60.0	60.0
dd59fbfbe2817df556864b87c490af55	0.0	0.0	29.0	32.0	39.0	36.0	0.0	0.0	0.0
873e4b2d57338eca0844078132c8b416	0.0	0.0	0.0	0.0	17.0	0.0	23.0	58.0	78.0
9842bf16e179277ed66a245d5a64abd6	0.0	0.0	0.0	0.0	0.0	0.0	50.0	71.0	61.0
96dedb4ede480c6c5ef025a61c34d258	57.0	0.0	18.0	18.0	37.0	0.0	0.0	0.0	42.0
c3ddbbf252c7dbacfda709b6e9b572f7	13.0	0.0	15.0	0.0	26.0	17.0	54.0	27.0	0.0
3c540c3fe423eaf9cb8aa70ec7b6be40	11.0	0.0	27.0	31.0	32.0	40.0	0.0	0.0	0.0
81282df6d7b3baaf5fbfc046753e14a5	0.0	0.0	0.0	0.0	26.0	29.0	39.0	34.0	27.0
b88a33f8cd235cae19acbd987c7bf18a	0.0	0.0	11.0	0.0	0.0	5.0	70.0	39.0	20.0
3025b6eae63a14385e72d58524441378	0.0	0.0	0.0	0.0	0.0	12.0	39.0	47.0	49.0
b443620029d4cb620231e4815cf9aaf0	50.0	87.0	0.0	0.0	0.0	0.0	14.0	19.0	38.0
d1718ac32d6eb7f5473959d9b2f2caf0	32.0	90.0	0.0	0.0	0.0	12.0	0.0	25.0	38.0
7b7aca8b95d49788a4eeac50b9f902e2	24.0	56.0	25.0	11.0	12.0	12.0	21.0	0.0	21.0
1e32479ffe22e2290b3c6d38e0d2fcde	0.0	0.0	0.0	13.0	34.0	58.0	0.0	0.0	0.0
2d9a0a978efae5d7520af6505c4368c1	35.0	0.0	22.0	21.0	24.0	35.0	0.0	0.0	0.0
59c50aeb640436f9e63a25543028ffdb	0.0	0.0	0.0	0.0	0.0	0.0	66.0	40.0	43.0
2c1e49ef57cf360c208b3430c5aa3d1d	0.0	0.0	17.0	0.0	39.0	62.0	0.0	0.0	0.0
ab71cc4dc777433aef75277570d47c5f	0.0	0.0	28.0	17.0	0.0	0.0	22.0	37.0	34.0
a19c9fd0cc5b28e8d24006bd8944a473	0.0	0.0	0.0	0.0	0.0	0.0	69.0	50.0	36.0
32599671fb1976ae63caca6f99fe1147	31.0	0.0	41.0	4.0	0.0	0.0	71.0	0.0	0.0
5a0cdf8941f6aa82d33ae91b5b05192c	0.0	0.0	27.0	41.0	0.0	55.0	0.0	0.0	0.0
fc134bde496fe402861efb8e099db5ca	51.0	18.0	26.0	18.0	18.0	20.0	0.0	0.0	0.0
4cd9338aaf2ac8007ac03c4df051465f	0.0	0.0	0.0	0.0	35.0	0.0	56.0	0.0	37.0
e3e40adfffa782afc2ac2aa037d4dad4	0.0	0.0	0.0	26.0	41.0	64.0	0.0	0.0	0.0
4f18fc4071de560580e2ebf2b3f066f1	0.0	0.0	0.0	0.0	0.0	0.0	66.0	76.0	0.0
8c1a083408a998d05182d2cd69093aae	0.0	0.0	0.0	13.0	56.0	32.0	0.0	0.0	0.0
a8aed78e6074b2e379bd6c29871fdb4a	0.0	0.0	0.0	0.0	0.0	0.0	90.0	40.0	0.0
a939cf6e33fa8f58f728fbd3efebbbf6	49.0	63.0	41.0	0.0	0.0	15.0	0.0	0.0	0.0
c3e1c7a296324cd5f790a2f5212a8d3a	0.0	0.0	0.0	14.0	0.0	0.0	63.0	42.0	0.0
6b9caf6e47f7dee4a89c448df57c734e	20.0	0.0	26.0	24.0	27.0	22.0	0.0	0.0	10.0
cddb4a9b3ad6dd2a82e0c96636ee6770	0.0	0.0	0.0	0.0	2.0	0.0	78.0	29.0	43.0
48273af37d3bc0f53707ffda4d91b6e2	77.0	0.0	0.0	20.0	23.0	6.0	0.0	0.0	0.0
41f45e6394f5554cb1cf33365890ea38	0.0	0.0	0.0	9.0	23.0	0.0	24.0	54.0	0.0
bd040b2da256f850e394410bc24a0b92	0.0	0.0	0.0	0.0	0.0	0.0	83.0	46.0	0.0
397fb325dd4d37dc25180ee7b210e438	0.0	0.0	0.0	0.0	0.0	0.0	53.0	50.0	33.0
d0290c33c4a03eed5bc42dc5587667ec	0.0	0.0	0.0	0.0	2.0	4.0	43.0	37.0	28.0
511397aee5f38e5f11e5305799070575	0.0	60.0	22.0	14.0	29.0	17.0	0.0	0.0	6.0
ab98ba743af77bc8ac655c4ef3d664ec	0.0	0.0	0.0	0.0	0.0	0.0	82.0	28.0	0.0
923fb365b18ab6f3daf66a222027b002	15.0	0.0	0.0	13.0	12.0	14.0	20.0	18.0	21.0
ae0ad782335bc931f00872370210100a	29.0	24.0	23.0	14.0	16.0	18.0	0.0	0.0	0.0
e7a4837eb2c9cb7a4a75678e6b4cd334	0.0	0.0	0.0	0.0	0.0	0.0	40.0	60.0	16.0
c82b0ae9a05b4c99c7b97b9b6639aa39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	91.0
88c035300f7ae7e0d5621756308bd7c8	0.0	0.0	25.0	8.0	25.0	6.0	41.0	0.0	0.0
dc422d5c5f6ba484f572348c28cd0cea	0.0	0.0	0.0	0.0	0.0	0.0	29.0	25.0	79.0
8db7538ad393d8f8c7494e89e459c8dd	0.0	0.0	0.0	0.0	35.0	54.0	0.0	0.0	0.0
4dfc5852cc8e0e8e7176d1393b19a728	0.0	0.0	0.0	0.0	0.0	0.0	27.0	30.0	75.0
0eb7694387df076c1ffe313aec8dfb8d	22.0	0.0	46.0	19.0	0.0	10.0	0.0	0.0	0.0
3a49b90abf1ced7c312e8e7787fa9912	0.0	0.0	0.0	0.0	0.0	0.0	66.0	39.0	0.0
e7105622554f694ee0d4ce35ea916079	0.0	0.0	0.0	0.0	0.0	0.0	26.0	36.0	45.0
925d5884b594338bb6942dc05ca277be	0.0	0.0	0.0	0.0	0.0	0.0	47.0	44.0	0.0
4333ab46724880381a67671ea825a9aa	0.0	0.0	0.0	0.0	0.0	0.0	68.0	17.0	20.0
78386905f7f096beda5475c60e01fe59	41.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0
0993afdc467acf7e498ef444e4f0fee8	15.0	6.0	16.0	22.0	17.0	22.0	0.0	0.0	0.0
0c38dc67c25adf83bd3c37eb7a5da6f9	0.0	0.0	0.0	0.0	0.0	0.0	37.0	56.0	0.0
a0298b9dc754b7ecc074b088560de5ce	15.0	15.0	25.0	16.0	20.0	20.0	0.0	0.0	0.0
74665c0a05ea2942f29bc39a7771709b	0.0	0.0	0.0	0.0	31.0	57.0	0.0	0.0	0.0
871ae7fd801b87d40d4d079ce0ef8aca	0.0	0.0	27.0	20.0	20.0	20.0	0.0	0.0	0.0
b0859f64a7f6ab69871273cff6bfca63	41.0	36.0	19.0	4.0	9.0	4.0	0.0	0.0	0.0
387cb4c3039c7132713a563da1fe7663	0.0	0.0	0.0	33.0	16.0	20.0	0.0	0.0	0.0
7b05e3ff479bda3c5a2698328f3fe8da	0.0	83.0	0.0	7.0	22.0	11.0	0.0	0.0	0.0
4a051e77e56e51b90bb21075c3ea91cf	15.0	0.0	41.0	27.0	0.0	0.0	0.0	0.0	0.0
a2b2c40dc5abe290f732952cc6a7a570	50.0	0.0	31.0	19.0	0.0	0.0	0.0	0.0	0.0
9b67e881aa7d4813213e4120012b37b5	44.0	0.0	51.0	0.0	8.0	0.0	0.0	0.0	0.0
e139e08138ed66c22313cc879c46b543	0.0	0.0	0.0	0.0	0.0	0.0	69.0	19.0	19.0
bc37c7877f7799c3933c6a5268e836f8	12.0	0.0	0.0	51.0	0.0	5.0	0.0	0.0	0.0
271c918f0c38109ba9a9fde16eecbe0d	0.0	0.0	0.0	52.0	0.0	0.0	28.0	7.0	0.0
a8408b35f13464965beea1558252f38c	0.0	0.0	0.0	0.0	0.0	0.0	39.0	28.0	25.0
