OTU_ID	SRR6668198	SRR6668199	SRR6668200	SRR6668201	SRR6668202	SRR6668203	SRR6668204	SRR6668205	SRR6668206	SRR6668207	SRR6668208	SRR6668209	SRR6668210	SRR6668211	SRR6668212	SRR6668213	SRR6668214	SRR6780845	SRR6780846	SRR6780848	SRR6780850	SRR6780851	SRR6780852	SRR6780854	SRR6780855	SRR6780856	SRR6780857	SRR6780858	SRR6780859	SRR6780860	SRR6780861	SRR6780862
07e36b575a00aedc40e2081455e8bfaa	5.0	23.0	36.0	61.0	84.0	20.0	1846.0	27.0	569.0	0.0	430.0	57.0	2.0	144.0	1290.0	37.0	8.0	6.0	113.0	84.0	72.0	135.0	82.0	12.0	222.0	26.0	0.0	26.0	1805.0	131.0	19.0	277.0
f395ae8fe5dfbd3b41a511ed1b409f56	0.0	0.0	106.0	133.0	817.0	9.0	38.0	26.0	18.0	402.0	936.0	66.0	0.0	21.0	0.0	107.0	39.0	104.0	318.0	40.0	44.0	729.0	2770.0	17.0	814.0	885.0	11.0	148.0	13.0	30.0	134.0	242.0
5b2ee8f84cc0fa50cb394dc24b83ea22	26.0	21.0	176.0	72.0	467.0	0.0	61.0	28.0	134.0	197.0	1757.0	81.0	0.0	52.0	0.0	100.0	64.0	97.0	247.0	101.0	292.0	533.0	1339.0	51.0	1606.0	868.0	0.0	121.0	76.0	129.0	54.0	154.0
0299d1fdb3d6d68197b34c0095af67e8	0.0	0.0	0.0	1953.0	0.0	0.0	1129.0	0.0	0.0	0.0	416.0	0.0	0.0	0.0	0.0	1983.0	1598.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	649.0	1330.0	0.0	0.0
6d911f6a932231f1026e62f711408d2c	50.0	93.0	418.0	217.0	469.0	23.0	50.0	56.0	48.0	488.0	470.0	262.0	11.0	102.0	40.0	288.0	306.0	367.0	677.0	327.0	425.0	506.0	96.0	23.0	448.0	63.0	68.0	216.0	27.0	30.0	99.0	954.0
ef0f9829c104f8beff862c7b4e5c3770	181.0	67.0	438.0	612.0	136.0	0.0	0.0	295.0	24.0	150.0	118.0	531.0	0.0	138.0	0.0	92.0	30.0	265.0	652.0	771.0	156.0	453.0	256.0	83.0	109.0	504.0	0.0	1364.0	0.0	235.0	0.0	78.0
6f23facb27188bcd938f77622d43a514	35.0	0.0	1265.0	96.0	987.0	0.0	203.0	17.0	172.0	42.0	765.0	121.0	4.0	59.0	467.0	9.0	27.0	257.0	94.0	257.0	86.0	548.0	168.0	14.0	839.0	524.0	0.0	69.0	156.0	16.0	0.0	41.0
8bacb46e80f6dba06a824effbce6746d	0.0	120.0	75.0	0.0	348.0	172.0	33.0	211.0	203.0	0.0	932.0	94.0	0.0	621.0	46.0	116.0	394.0	50.0	0.0	0.0	1550.0	276.0	0.0	425.0	1051.0	0.0	0.0	207.0	73.0	382.0	137.0	155.0
a34f3e920463cd5fcc704fed778956e3	0.0	177.0	0.0	0.0	0.0	23.0	0.0	146.0	0.0	0.0	0.0	514.0	33.0	152.0	0.0	64.0	7.0	12.0	52.0	0.0	138.0	13.0	24.0	2721.0	0.0	40.0	97.0	944.0	0.0	176.0	1615.0	204.0
e0b762dca98815bc4fdbcc876dd16639	168.0	221.0	194.0	5.0	269.0	150.0	18.0	263.0	201.0	7.0	191.0	338.0	84.0	290.0	224.0	109.0	43.0	738.0	14.0	853.0	231.0	208.0	15.0	60.0	268.0	15.0	24.0	570.0	25.0	11.0	116.0	1183.0
7560d7a7dc58e4f340f8be193021d930	100.0	675.0	312.0	0.0	0.0	224.0	0.0	355.0	86.0	0.0	54.0	125.0	72.0	741.0	0.0	0.0	104.0	87.0	0.0	496.0	428.0	245.0	0.0	138.0	0.0	0.0	156.0	424.0	20.0	170.0	35.0	0.0
