OTU_ID	SRR8179507	SRR8179508	SRR8179509	SRR8179510	SRR8179511	SRR8179512	SRR8179513	SRR8179514	SRR8179515	SRR8179516	SRR8179517	SRR8179518	SRR8179519	SRR8179520
7dc75437da73ed13c12b6aaa8d5605d6	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	569.0
2878e3306a0a576ee73fced7f21dd925	6.0	673.0	1.0	6.0	16.0	9.0	9.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0
aaff96cc801cad4513d7cdc6c1e87a51	0.0	0.0	15.0	2.0	0.0	483.0	185.0	159.0	7.0	0.0	48.0	0.0	0.0	0.0
272dbd0a9fa5eb1286db0c8af9185e1d	0.0	0.0	597.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0
a9d13d48d2ba38a408822281865d40c7	0.0	10.0	10.0	11.0	0.0	515.0	116.0	101.0	9.0	11.0	46.0	16.0	3.0	4.0
c122e3df94fc077cb7f7d700c4092a58	0.0	4.0	6.0	5.0	0.0	466.0	176.0	125.0	0.0	0.0	33.0	0.0	4.0	0.0
1d56e7d9552dc6f79ee370ef469f62b4	0.0	664.0	5.0	7.0	16.0	5.0	5.0	5.0	0.0	0.0	0.0	0.0	8.0	7.0
d03ce476a1197cd6e53ab0f829cf917d	10.0	590.0	3.0	2.0	7.0	5.0	5.0	5.0	0.0	0.0	0.0	0.0	9.0	7.0
3048b25a3ca53403109132da8adf22ee	0.0	0.0	0.0	0.0	0.0	0.0	9.0	5.0	9.0	31.0	7.0	810.0	0.0	0.0
2b4dc37a88bfa755ac19b7b52d2a95d4	0.0	0.0	555.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0
6b55e346589e0982e8f725cef3697f2f	49.0	540.0	0.0	0.0	21.0	24.0	0.0	0.0	12.0	0.0	0.0	0.0	3.0	7.0
3906e0daec58ac0261d8880bdc5b37a6	0.0	4.0	1.0	17.0	0.0	2.0	675.0	33.0	0.0	0.0	173.0	0.0	0.0	0.0
0db41ba789087990aa26fff77c4dc543	0.0	0.0	15.0	0.0	0.0	397.0	197.0	122.0	0.0	7.0	45.0	0.0	7.0	0.0
8c1cda0acadab762ce7ef3edd1e5d1c9	52.0	518.0	6.0	5.0	0.0	22.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	9.0
a9d0cf91116d0fd5a0764833e3f64db1	490.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37bdb147e3d46f9c7f2da9fb141e53a5	0.0	2.0	0.0	15.0	0.0	1.0	635.0	29.0	0.0	0.0	145.0	0.0	2.0	0.0
6080bfa59eecbf380784c5b757fc75a6	0.0	0.0	0.0	531.0	0.0	6.0	0.0	28.0	0.0	0.0	111.0	0.0	0.0	0.0
