OTU_ID	ERR2029188	ERR2029189	ERR2029190	ERR2029191	ERR2029192	ERR2029193	ERR2029194	ERR2029195	ERR2029235	ERR2029236	ERR2029237	ERR2029238	ERR2029239	ERR2029240	ERR2029242	ERR2029243	ERR2029258	ERR2029259	ERR2029260	ERR2029261	ERR2029262	ERR2029263	ERR2029265	ERR2029266
522b6eeae6f53035daabfdb24f29c428	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	601.0	25.0	532.0	0.0	262.0	282.0	0.0	0.0	0.0	0.0	500.0	0.0	261.0	0.0	0.0	0.0
f1ef9cb5f1176b5a567fa87ab22b3a9b	0.0	0.0	459.0	0.0	747.0	0.0	0.0	0.0	198.0	0.0	0.0	0.0	0.0	0.0	262.0	0.0	140.0	0.0	0.0	0.0	221.0	0.0	0.0	0.0
33395d69f5bca909ed73c7c84f84a79c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1365.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1071a13970af912f5998984495028433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	1880.0	0.0	15.0	0.0	0.0
431bdba916ae48d8901c8fef5236fb59	26.0	0.0	111.0	0.0	103.0	0.0	158.0	182.0	0.0	0.0	201.0	0.0	0.0	0.0	0.0	0.0	162.0	0.0	255.0	0.0	36.0	0.0	315.0	0.0
20069998221c00f7b2eaeecfc8e7fade	0.0	0.0	0.0	988.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3f49e449d1993d85d0a527b141394b4d	0.0	0.0	14.0	746.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0
2f0981365d15a2b18ac1c8300c7b4b2f	0.0	0.0	0.0	0.0	0.0	0.0	593.0	310.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0
e524904e227b9e57d4e1e76dd95cca1c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1137.0	0.0	21.0	0.0	0.0
53574c1b129e8d8ee474f83db870f9cc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	976.0	0.0	0.0	0.0
82d477b113c63b81e9c8e23960e3f59d	3.0	0.0	11.0	0.0	0.0	3.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	578.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0
5c187a3dd12c2e82480111f7ed22634d	0.0	0.0	798.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
