OTU_ID	ERR1594379	ERR1594380	ERR1594381	ERR1594382	ERR1594383	ERR1594384	ERR1594385	ERR1594386	ERR1594387	ERR1594388	ERR1594391	ERR1594392	ERR1594393	ERR1594394	ERR1594395	ERR1594399	ERR1594400	ERR1594401	ERR1594402	ERR1594403	ERR1594404	ERR1594405	ERR1594406	ERR1594407	ERR1594408	ERR1594409	ERR1594411	ERR1594412	ERR1594414	ERR1594415	ERR1594416	ERR1594417	ERR1594418	ERR1594419	ERR1594421	ERR1594423	ERR1594424	ERR1594425	ERR1594426	ERR1594427	ERR1594428	ERR1594429	ERR1594430	ERR1594431	ERR1594433	ERR1594435	ERR1594436	ERR1594437	ERR1594438	ERR1594439	ERR1594440	ERR1594441	ERR1594444	ERR1594446	ERR1594447	ERR1594448	ERR1594449	ERR1594450	ERR1594451	ERR1594453	ERR1594454	ERR1594455	ERR1594456	ERR1594457	ERR1594458	ERR1594459	ERR1594460	ERR1594461	ERR1594462	ERR1594463	ERR1594464	ERR1594465	ERR1594466	ERR1594467	ERR1594468	ERR1594469	ERR1594470	ERR1594471	ERR1594472	ERR1594473	ERR1594474	ERR1594475	ERR1594476	ERR1594477	ERR1594478	ERR1594479	ERR1594480	ERR1594481	ERR1594482	ERR1594483	ERR1594484	ERR1594486	ERR1594487	ERR1594488	ERR1594489	ERR1594490	ERR1594491	ERR1594492	ERR1594493	ERR1594494	ERR1594495	ERR1594496	ERR1594497	ERR1594501	ERR1594502	ERR1594503
94ca6141b3f5b9e5ac3723be839b4326	16.0	4.0	85.0	25.0	39.0	5.0	105.0	16.0	6.0	11.0	5.0	6.0	11.0	0.0	31.0	95.0	6.0	7.0	0.0	233.0	28.0	5.0	0.0	5.0	4.0	37.0	1962.0	678.0	2400.0	963.0	1749.0	2796.0	1104.0	2561.0	2256.0	2698.0	2913.0	2371.0	49.0	0.0	55.0	0.0	13.0	4.0	55.0	0.0	2.0	4.0	251.0	16.0	0.0	4.0	513.0	10.0	378.0	0.0	3.0	0.0	0.0	32.0	524.0	0.0	58.0	174.0	2646.0	992.0	167.0	182.0	2044.0	33.0	0.0	0.0	7.0	0.0	0.0	14.0	450.0	52.0	0.0	7.0	8.0	9.0	30.0	0.0	0.0	0.0	6.0	534.0	2.0	13.0	4.0	14.0	7.0	63.0	4.0	34.0	17.0	30.0	0.0	17.0	16.0	4.0	0.0	0.0	20.0	0.0
49d711b109fbfb8d9e991872e3b30a0d	0.0	24.0	20.0	0.0	22.0	1.0	16.0	26.0	12.0	0.0	40.0	14.0	0.0	0.0	76.0	26.0	18.0	258.0	165.0	122.0	173.0	587.0	603.0	55.0	14.0	69.0	18.0	7.0	6.0	12.0	4.0	5.0	0.0	8.0	27.0	18.0	0.0	0.0	183.0	7378.0	223.0	0.0	0.0	0.0	4072.0	1507.0	876.0	959.0	3105.0	1975.0	0.0	5835.0	20.0	0.0	0.0	89.0	137.0	72.0	228.0	82.0	0.0	335.0	106.0	0.0	0.0	0.0	11.0	0.0	0.0	8.0	0.0	57.0	665.0	24.0	31.0	94.0	0.0	344.0	70.0	788.0	199.0	64.0	492.0	170.0	0.0	203.0	60.0	0.0	1941.0	70.0	1920.0	2152.0	139.0	592.0	278.0	29.0	32.0	33.0	0.0	25.0	25.0	21.0	0.0	0.0	28.0	23.0
8a56c0590d9fed925ba5cb3cc58342c0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	11.0	29.0	174.0	19.0	32.0	39.0	0.0	0.0	44.0	41.0	34.0	245.0	37.0	45.0	0.0	0.0	45.0	524.0	0.0	0.0	0.0	9.0	6.0	12.0	8.0	34.0	0.0	0.0	13.0	1132.0	789.0	1228.0	1.0	9.0	9.0	572.0	177.0	45.0	60.0	95.0	102.0	0.0	181.0	804.0	0.0	1413.0	0.0	74.0	52.0	0.0	304.0	145.0	250.0	294.0	13.0	0.0	0.0	0.0	0.0	12.0	20.0	0.0	34.0	761.0	0.0	0.0	57.0	102.0	210.0	26.0	259.0	56.0	27.0	54.0	52.0	0.0	377.0	53.0	236.0	766.0	1253.0	4167.0	1968.0	484.0	842.0	857.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24ee5db097ab06c2bc77381e1ca117f9	0.0	0.0	39.0	6.0	25.0	3.0	11.0	0.0	5.0	2.0	10.0	67.0	19.0	54.0	26.0	9.0	7.0	18.0	19.0	4.0	34.0	72.0	77.0	12.0	10.0	3732.0	960.0	3304.0	94.0	109.0	147.0	151.0	231.0	253.0	1053.0	1583.0	1270.0	1820.0	23.0	0.0	0.0	0.0	12.0	0.0	132.0	29.0	0.0	17.0	536.0	205.0	0.0	236.0	221.0	11.0	303.0	12.0	76.0	50.0	50.0	50.0	87.0	0.0	66.0	27.0	75.0	73.0	66.0	129.0	109.0	11.0	0.0	0.0	0.0	0.0	0.0	15.0	61.0	84.0	3.0	35.0	36.0	4.0	21.0	13.0	0.0	0.0	7.0	117.0	9.0	46.0	274.0	79.0	13.0	180.0	16.0	0.0	0.0	10.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
2927d2519d40c7bf23a6a1ce639afaa9	0.0	0.0	0.0	0.0	0.0	0.0	16.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9860.0	9787.0	531.0	6550.0	16040.0	364.0	63.0	1007.0	655.0	1805.0	368.0	416.0	2480.0	790.0	0.0	0.0	0.0	0.0	639.0	10.0	18.0	187.0	2.0	43.0	10.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
ca669cb5a37c9f1c69c195a3e3d01fd6	0.0	0.0	0.0	38.0	22.0	777.0	628.0	514.0	280.0	726.0	0.0	20.0	64.0	0.0	19.0	177.0	1453.0	207.0	7.0	1622.0	0.0	105.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	0.0	0.0	0.0	63.0	14.0	0.0	0.0	0.0	5.0	10.0	4.0	39.0	8.0	0.0	46.0	65.0	9.0	0.0	0.0	6.0	0.0	12.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	15.0	30.0	29.0	24.0	17.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	803.0	0.0	50.0	0.0	0.0	6.0	22.0	0.0	0.0	14.0	6.0	2336.0	2934.0	2444.0	1339.0	2435.0	1923.0	1484.0	850.0	0.0	3167.0	1710.0
6792a44239d6e8bd9ed386c736666d7f	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	246.0	0.0	0.0	0.0	0.0	0.0	1408.0	473.0	12602.0	18736.0	6553.0	204.0	0.0	0.0	0.0	307.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	289.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1926ff393f0325a64e22e12ed1680009	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	100.0	21.0	10.0	93.0	32.0	21.0	1027.0	38.0	113.0	9.0	84.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	693.0	1182.0	98.0	10.0	40.0	11.0	1708.0	719.0	180.0	143.0	701.0	409.0	0.0	1110.0	239.0	3011.0	310.0	0.0	38.0	39.0	51.0	23.0	0.0	1303.0	53.0	0.0	0.0	0.0	8.0	0.0	0.0	395.0	0.0	0.0	378.0	0.0	0.0	57.0	68.0	264.0	79.0	175.0	66.0	51.0	91.0	25.0	0.0	771.0	127.0	28.0	591.0	667.0	129.0	1264.0	239.0	148.0	757.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0
85f3055a0897104bd3778b9a6419e3bc	4.0	11.0	4.0	8.0	6.0	0.0	0.0	4.0	0.0	0.0	3.0	10.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	3.0	0.0	0.0	6.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	9.0	7.0	10.0	297.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	13.0	51.0	30.0	0.0	394.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	34.0	9.0	0.0	5.0	8.0	9.0	7.0	0.0	2.0	0.0	4.0	552.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	14.0	0.0	0.0	22.0	40.0	34.0	3.0	0.0	0.0	0.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
141a12de1a56aeab249f6fb53798e361	0.0	0.0	0.0	0.0	0.0	3482.0	373.0	1770.0	2920.0	2455.0	0.0	0.0	0.0	0.0	0.0	95.0	1646.0	0.0	0.0	131.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
