OTU_ID	SRR11306110	SRR11306111	SRR11306112	SRR11306113	SRR11306114	SRR11306115	SRR11306116	SRR11306117	SRR11306118	SRR11306119	SRR11306120	SRR11306121	SRR11306122	SRR11306123	SRR11306124	SRR11306125	SRR11306126	SRR11306127	SRR11306128	SRR11306129	SRR11306130	SRR11306131	SRR11306132	SRR11306133	SRR11306134	SRR11306135	SRR11306136	SRR11306137	SRR11306138	SRR11306139	SRR11306140	SRR11306141	SRR11306142	SRR11306143	SRR11306144	SRR11306145	SRR11306146	SRR11306147	SRR11306148	SRR11306149	SRR11306150	SRR11306151	SRR11306152	SRR11306153	SRR11306155	SRR11306156	SRR11306157	SRR11306158	SRR11306160	SRR11306161	SRR11306162	SRR11306163	SRR11306164	SRR11306165	SRR11306166	SRR11306167	SRR11306168	SRR11306169	SRR11306170	SRR11306171	SRR11306172	SRR11306173	SRR11306174	SRR11306175	SRR11306176	SRR11306177	SRR11306178	SRR11306179	SRR11306180	SRR11306181	SRR11306183	SRR11306184	SRR11306185	SRR11306186	SRR11306187	SRR11306190	SRR11306191	SRR11306192	SRR11306193	SRR11306195	SRR11306197	SRR11306198	SRR11306199	SRR11306201	SRR11306202	SRR11306203	SRR11306205
2fae3479490ae38d9aba4f6f99a5ed27	0.0	63.0	98.0	97.0	126.0	75.0	267.0	626.0	0.0	26.0	28.0	0.0	1381.0	6897.0	1408.0	17.0	111.0	41.0	0.0	30.0	44.0	28.0	0.0	24.0	140.0	24.0	70.0	31.0	26.0	24.0	121.0	24.0	0.0	0.0	0.0	0.0	22.0	8.0	0.0	9.0	35.0	158.0	22.0	65.0	23.0	0.0	52.0	78.0	237.0	118.0	90.0	50.0	0.0	0.0	0.0	0.0	2752.0	458.0	26.0	0.0	35.0	34.0	39.0	16.0	21.0	27.0	28.0	11.0	151.0	42.0	33.0	30.0	44.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	340.0	549.0	0.0	0.0
b4b1aa656db528443b53ce48527824ba	644.0	20.0	13.0	11.0	28.0	34.0	23.0	0.0	16.0	18.0	9.0	392.0	17.0	15.0	0.0	0.0	13.0	0.0	14.0	13.0	53.0	24.0	795.0	16.0	19.0	43.0	78.0	8.0	25.0	13.0	16.0	0.0	281.0	308.0	295.0	320.0	313.0	302.0	394.0	155.0	0.0	0.0	0.0	0.0	0.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	930.0	875.0	894.0	1124.0	29.0	12.0	17.0	421.0	32.0	11.0	13.0	0.0	33.0	15.0	11.0	23.0	11.0	0.0	7.0	0.0	0.0	28.0	0.0	910.0	355.0	906.0	423.0	993.0	1022.0	439.0	993.0	10.0	56.0	786.0	414.0
fb41d4611416ac559a14ba9564fd9978	0.0	10.0	16.0	47.0	1810.0	35.0	97.0	27.0	50.0	325.0	665.0	0.0	0.0	13.0	41.0	0.0	26.0	23.0	317.0	365.0	520.0	136.0	0.0	211.0	747.0	1018.0	617.0	776.0	781.0	626.0	387.0	395.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	46.0	0.0	6.0	0.0	0.0	23.0	27.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	558.0	0.0	278.0	393.0	286.0	224.0	97.0	338.0	228.0	475.0	414.0	381.0	621.0	574.0	843.0	655.0	486.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	11.0	0.0	0.0
7aaff65c70be829fbbabe5903129c64e	0.0	0.0	30.0	75.0	30.0	0.0	7.0	0.0	0.0	25.0	0.0	0.0	0.0	16.0	16.0	25.0	35.0	16.0	838.0	856.0	579.0	1136.0	0.0	944.0	49.0	144.0	116.0	0.0	0.0	0.0	1258.0	874.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	100.0	0.0	0.0	44.0	0.0	38.0	99.0	68.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	372.0	0.0	873.0	1302.0	243.0	281.0	323.0	645.0	791.0	570.0	414.0	633.0	695.0	602.0	675.0	470.0	229.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0
73f51289a97829785baefbfc0f38be81	0.0	33.0	0.0	0.0	134.0	38.0	32.0	1178.0	52.0	0.0	53.0	0.0	169.0	177.0	103.0	0.0	0.0	117.0	64.0	34.0	38.0	0.0	0.0	46.0	69.0	66.0	72.0	1498.0	536.0	1648.0	0.0	32.0	0.0	0.0	8.0	20.0	0.0	29.0	5.0	20.0	2480.0	63.0	4992.0	398.0	274.0	17.0	157.0	155.0	0.0	110.0	56.0	0.0	11.0	42.0	46.0	28.0	149.0	15.0	37.0	0.0	36.0	306.0	0.0	41.0	24.0	31.0	20.0	0.0	219.0	116.0	97.0	144.0	65.0	150.0	82.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	19.0	48.0	163.0	0.0	15.0
af5ccda5bcd20d3f5748d30bdf53d48c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	380.0	321.0	389.0	55.0	0.0	43.0	25.0	50.0	45.0	0.0	19.0	0.0	65.0	512.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	927.0	0.0	66.0	64.0	1415.0	1733.0	1446.0	133.0	115.0	47.0	314.0	392.0	557.0	417.0	779.0	530.0	2951.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0b55f8ffc4d59bfd2fb590a46f7777f7	0.0	0.0	0.0	31.0	0.0	0.0	289.0	0.0	0.0	36.0	0.0	0.0	0.0	15.0	64.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	273.0	310.0	458.0	42.0	47.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	301.0	6562.0	430.0	38.0	144.0	0.0	669.0	562.0	3654.0	1096.0	679.0	207.0	0.0	0.0	0.0	0.0	34.0	21.0	78.0	0.0	0.0	0.0	0.0	0.0	10.0	31.0	33.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fbca419d5ca59d055e23c35b27dd5017	0.0	49.0	21.0	20.0	31.0	40.0	24.0	21.0	0.0	16.0	0.0	0.0	268.0	360.0	94.0	34.0	86.0	53.0	150.0	91.0	153.0	60.0	0.0	55.0	18.0	39.0	43.0	0.0	15.0	0.0	80.0	140.0	17.0	6.0	13.0	49.0	92.0	85.0	0.0	41.0	46.0	244.0	0.0	567.0	260.0	53.0	82.0	79.0	102.0	717.0	2418.0	6684.0	0.0	122.0	61.0	0.0	119.0	25.0	326.0	0.0	83.0	57.0	62.0	64.0	66.0	74.0	46.0	35.0	238.0	119.0	117.0	104.0	184.0	210.0	198.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	14.0	0.0	98.0	0.0	5.0
0acf88abe30aff88814ea12aeecdfc4b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	10.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	895.0	725.0	1176.0	1662.0	1665.0	1947.0	0.0	1432.0	0.0	0.0	0.0	0.0	0.0	1686.0	0.0	0.0	0.0	0.0	0.0	0.0	272.0	145.0	206.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cff4e5588e220c8cc57b45f4cdc34717	0.0	29.0	124.0	110.0	66.0	194.0	99.0	92.0	32.0	36.0	32.0	0.0	234.0	146.0	188.0	98.0	69.0	60.0	330.0	272.0	442.0	177.0	0.0	243.0	116.0	122.0	143.0	90.0	65.0	68.0	211.0	574.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	129.0	201.0	18.0	20.0	28.0	0.0	179.0	193.0	173.0	96.0	115.0	66.0	0.0	23.0	0.0	0.0	222.0	73.0	773.0	0.0	540.0	238.0	209.0	337.0	334.0	586.0	241.0	530.0	341.0	135.0	148.0	97.0	215.0	615.0	348.0	0.0	0.0	0.0	0.0	0.0	21.0	19.0	0.0	285.0	164.0	0.0	0.0
