OTU_ID	SRR16971116	SRR16971117	SRR16971118	SRR16971119	SRR16971120	SRR16971121
44594db6c7d6b38a38eae64ad69dd6b8	37.0	22.0	32.0	15.0	35.0	23.0
374329a4befa2733f4ef0f98110154bc	31.0	36.0	23.0	48.0	19.0	13.0
da068e92259e2ac9a8b18bde096c1825	20.0	20.0	21.0	59.0	26.0	22.0
11ee8c2a3d3b38ac573cfe94f45005b8	9.0	14.0	13.0	43.0	55.0	41.0
fb3f02f8043d9c87b8f60573168d03cf	5.0	9.0	15.0	51.0	49.0	51.0
edcb61ccefd79b1c9dacf0c35363698a	21.0	30.0	27.0	28.0	29.0	35.0
457a65c807e5283fa5709d83441a0031	13.0	26.0	19.0	32.0	38.0	44.0
8ec411abfd4d0234bc0c37fd5677df43	10.0	8.0	9.0	28.0	49.0	73.0
2c7fa52a1f630dd7756ba6abe3721463	28.0	24.0	36.0	22.0	26.0	28.0
56e80d6e8ce9694269e0c3c6951a33b9	26.0	16.0	22.0	49.0	28.0	27.0
2fbe2c0dfd16b290b1da2c520999d1bb	38.0	28.0	39.0	26.0	23.0	26.0
94ad5b097232b240759602f758d5a26c	22.0	27.0	22.0	32.0	27.0	27.0
b5226469ef0d27487d04ef5bc51836ca	35.0	35.0	48.0	0.0	32.0	0.0
a8db89e4ba07e89289f87b024c7463ee	37.0	32.0	36.0	20.0	8.0	9.0
068f251f8d91a15aa700219340469db5	37.0	29.0	32.0	18.0	14.0	20.0
e563fddde9a129c7a5df4088105dab90	57.0	44.0	39.0	4.0	0.0	3.0
18b8b5a8fb44701c13e5ce6d4855b343	30.0	28.0	31.0	21.0	23.0	27.0
0220b5e757eff51acd35e676a7b3084b	10.0	23.0	15.0	28.0	39.0	47.0
123deadd470b6b61695e92a618e2b402	7.0	10.0	11.0	42.0	49.0	49.0
0a0a19a017191f0a2325e20e52c5327e	33.0	27.0	36.0	16.0	22.0	22.0
e60645ae6946ad87475dc1a2c4a79401	41.0	18.0	28.0	23.0	18.0	24.0
c9cb5bc39d43c409ce88c88103d813c2	12.0	30.0	23.0	31.0	30.0	40.0
f39f189ae0856aebf40ebc8c834ae982	11.0	10.0	22.0	40.0	37.0	32.0
e52477d83eed4c70e479b9015f6e9af0	33.0	21.0	34.0	22.0	24.0	16.0
e9133c83ff33423d974fc1be66110913	27.0	28.0	20.0	27.0	28.0	28.0
9d0fbbd5f194f3a513b827441f85fcdb	38.0	26.0	31.0	19.0	26.0	16.0
b542c8bd2eeacf333d6c3aadf19594ef	31.0	31.0	25.0	33.0	14.0	18.0
9c1d894b854c337ce29a691021746d6d	26.0	33.0	20.0	29.0	23.0	30.0
cffda338512a970ef75d8bb1897ff2df	39.0	30.0	40.0	8.0	14.0	6.0
e5297d285fd688331a6eb3ab8ded0ef3	20.0	19.0	18.0	24.0	35.0	33.0
b406e06880cb362ff6d65158c282112d	17.0	37.0	22.0	29.0	26.0	30.0
c065a7aeecd78a347d88c94880417d43	33.0	28.0	34.0	19.0	28.0	16.0
3fccdc058f71c9977b0e5be6413c1e2d	0.0	48.0	0.0	46.0	45.0	31.0
f8d3e120c4fd44d53e14c0212321e21c	23.0	27.0	15.0	24.0	29.0	26.0
d799bf02053348dd0953116dd2472c78	14.0	23.0	12.0	70.0	29.0	15.0
6cfeea8a310f81c62ae65647821196e0	34.0	30.0	32.0	15.0	11.0	19.0
a0de2eaf7e85dd3c45c0ecef187e956e	28.0	20.0	29.0	28.0	25.0	17.0
2aad3c0ea0cd69ed0649a6960220e2a6	22.0	19.0	35.0	9.0	31.0	21.0
233567aff57bf48d33595c49f5759a5c	16.0	32.0	17.0	21.0	38.0	32.0
f2c63dbcefbce12881921ddd62ad11a2	21.0	30.0	22.0	31.0	17.0	29.0
