OTU_ID	SRR18795039	SRR18795040	SRR18795041	SRR18795042	SRR18795043	SRR18795044	SRR18795047	SRR18795058	SRR18795063	SRR18795064	SRR18795065	SRR18795066	SRR18795067	SRR18795068	SRR18795069	SRR18795070
a0972123fe775df92fc3b8e8a38183b7	28.0	41.0	35.0	9.0	19.0	33.0	20.0	13.0	33.0	23.0	37.0	30.0	24.0	38.0	18.0	18.0
7637d8860c13349146a0c208a12a239d	0.0	0.0	53.0	0.0	0.0	20.0	0.0	0.0	0.0	73.0	56.0	86.0	79.0	59.0	0.0	0.0
35ad67ef984bc1f7288afa2124c673b6	29.0	33.0	24.0	21.0	27.0	26.0	28.0	27.0	19.0	19.0	25.0	17.0	24.0	25.0	33.0	32.0
fcb81ca3ff6aa902c12cb4b197e32fa0	26.0	15.0	40.0	5.0	23.0	12.0	19.0	18.0	29.0	29.0	35.0	38.0	36.0	29.0	21.0	32.0
fefa1feb50149339ff9deb1fd5a30ecf	0.0	83.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	65.0	74.0	38.0	0.0	75.0	0.0	0.0
0884fe1d7be781ce540e07a788a082bf	23.0	30.0	29.0	19.0	11.0	17.0	16.0	26.0	19.0	24.0	38.0	33.0	43.0	20.0	14.0	14.0
b95b7b6ea74d6991bc7b51f85faecd92	33.0	31.0	31.0	15.0	15.0	21.0	25.0	12.0	18.0	20.0	32.0	32.0	32.0	40.0	19.0	16.0
6f966863a2d2c803bcfaf087901fdc78	17.0	27.0	16.0	33.0	18.0	19.0	20.0	26.0	33.0	31.0	31.0	23.0	32.0	25.0	15.0	6.0
03e77419982ab12dc17545178737d8e1	23.0	27.0	28.0	10.0	29.0	23.0	34.0	29.0	15.0	15.0	17.0	14.0	18.0	18.0	24.0	39.0
bac8def6ff7862f5e0e887d5d1eafeec	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	82.0	0.0	64.0	88.0	34.0	0.0	0.0
e5402729817c0a38bb09dd9b57dddd85	88.0	65.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	18.0	0.0	71.0	13.0	31.0	0.0
9daca1b27efc7e6d67cc66a9245072fe	39.0	18.0	17.0	9.0	17.0	17.0	9.0	10.0	14.0	33.0	25.0	27.0	26.0	36.0	15.0	25.0
dce1dc8ab107b720f9cdaf2828c97817	56.0	0.0	12.0	0.0	0.0	0.0	0.0	3.0	44.0	39.0	77.0	97.0	0.0	39.0	0.0	0.0
4ea040a8132b75057e60152de000581b	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	66.0	0.0	0.0	68.0	57.0	75.0	42.0	0.0
b10a5a28fb09c4db9e65f20355f1b5c5	16.0	19.0	23.0	21.0	20.0	31.0	22.0	16.0	14.0	36.0	10.0	33.0	16.0	17.0	36.0	30.0
4a77486b196474c522a43a8c9142909f	45.0	50.0	18.0	0.0	37.0	0.0	23.0	0.0	35.0	0.0	0.0	42.0	89.0	0.0	0.0	0.0
