OTU_ID	ERR2811133	ERR2811134	ERR2811135	ERR2811137	ERR2811138	ERR2811139	ERR2811140	ERR2811141	ERR2811143	ERR2811144	ERR2811145	ERR2811146	ERR2811147
e19e935c7d6b72df82dd6d656dbbadf2	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	850.0	850.0	0.0
c09e5ca57b80f34312431ee317f07c98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	19.0	620.0	573.0	321.0
1086261388fcbc43b4a7d76f6aafb282	16.0	0.0	0.0	0.0	0.0	10.0	11.0	0.0	0.0	0.0	699.0	619.0	95.0
8b74fe76565c4b69c9e351426e921863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	74.0	50.0	538.0	452.0	210.0
e898feaf76721d515707dc9be079dd19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	926.0	0.0	0.0	0.0	0.0	0.0
b7883715f27c28bf10464903a85ae569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	874.0	0.0	10.0	0.0	0.0	0.0
14d902a3d127f1f3424c48e49acbf4de	0.0	0.0	0.0	0.0	1.0	0.0	0.0	946.0	0.0	0.0	0.0	0.0	0.0
decc2580c2f6eccfe82ab177bbe5851b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	332.0	169.0	98.0	117.0	378.0
1659c9bc550780490d4c266e184f8657	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	135.0	785.0	34.0	0.0	154.0
0b20d07e0af5274a1d1c076b212dd084	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	809.0	0.0	0.0	140.0
94c442129318187fae189577519389ae	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	475.0	760.0	0.0
1a6889aeadd50248745cba6e3a858e99	0.0	0.0	0.0	6.0	9.0	0.0	0.0	0.0	311.0	222.0	85.0	65.0	458.0
5788631121662c39c2e60fb1896f65b7	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	29.0	42.0	444.0	391.0	218.0
c3819ecf42f2aaaff5747a12a46f6e12	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	431.0	169.0	94.0	58.0	280.0
6caca7c269d0174685ca65cc22ba2e19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	641.0	528.0	0.0
0d177a41b4bd2434d0b939b1807b97b3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	605.0	109.0	28.0	0.0	0.0	107.0
dafe6826b163cd54f486bf938a611e3d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	820.0	0.0	0.0	0.0	0.0	0.0
56885cfc7bef1f5c54e76e4f11c10113	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	215.0	624.0	0.0	0.0	113.0
de058aaa024c57069403a4c7b4fc73cf	177.0	12.0	339.0	9.0	18.0	19.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
3277565e235153c30148e8a98ebb8038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	563.0	0.0	16.0	175.0
74c501d54813a4e5735b8cf9b5886f19	0.0	0.0	0.0	0.0	8.0	10.0	0.0	0.0	0.0	0.0	515.0	466.0	0.0
144d2a88e8bcf053277337313e0c9565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	152.0	532.0	0.0	0.0	124.0
1765c6314d10b519c27100488ab703f5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	308.0	184.0	42.0	91.0	277.0
