OTU_ID	ERR2198721	ERR2198722	ERR2198723	ERR2198724	ERR2198726	ERR2198727	ERR2198728	ERR2198730	ERR2198732	ERR2198733	ERR2198735	ERR2198736	ERR2198737	ERR2198738	ERR2198740	ERR2198741	ERR2198742	ERR2198744	ERR2198748	ERR2198749	ERR2198752	ERR2198753	ERR2198754	ERR2198755	ERR2198757	ERR2198758	ERR2198759	ERR2198765	ERR2198770	ERR2198771	ERR2198779	ERR2198782	ERR2198783	ERR2198784	ERR2198785	ERR2198786	ERR2198787	ERR2198790	ERR2198793	ERR2198797	ERR2198800	ERR2198805
121aa77c81e7f878a7f29515fc0423d5	2176.0	111.0	60.0	77.0	388.0	31.0	0.0	6.0	16.0	328.0	61.0	5.0	0.0	11.0	385.0	28.0	198.0	34.0	0.0	101.0	328.0	130.0	632.0	292.0	16.0	9.0	0.0	438.0	632.0	470.0	0.0	0.0	4.0	33.0	0.0	15.0	0.0	0.0	12.0	0.0	0.0	31.0
50715365f546080926a4ade138fd527f	39.0	84.0	4.0	89.0	20.0	533.0	117.0	0.0	0.0	0.0	14.0	4.0	4.0	5.0	2.0	68.0	352.0	6.0	0.0	0.0	0.0	15.0	9.0	11.0	142.0	263.0	258.0	14.0	3199.0	3932.0	216.0	124.0	1303.0	99.0	186.0	91.0	732.0	0.0	2.0	11.0	38.0	47.0
bc4ff621b129aa02286cbe00da6dbfe3	34.0	493.0	175.0	420.0	3648.0	33.0	1150.0	11.0	0.0	27.0	0.0	6.0	4.0	21.0	0.0	0.0	2.0	149.0	0.0	1.0	28.0	7.0	112.0	483.0	3417.0	3103.0	2089.0	11.0	43.0	7.0	24.0	0.0	8.0	571.0	115.0	11.0	12.0	0.0	0.0	12.0	0.0	0.0
7e5a735dba736dc8ae9badc44d646554	276.0	237.0	235.0	197.0	0.0	0.0	0.0	657.0	487.0	381.0	392.0	652.0	706.0	589.0	0.0	0.0	0.0	10.0	647.0	1888.0	39.0	30.0	26.0	348.0	0.0	3.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2133.0	485.0	4.0	0.0	0.0
f9b8984db17309dc20f5550481926244	1603.0	931.0	401.0	2319.0	2816.0	1707.0	1376.0	0.0	35.0	11.0	7.0	5.0	5.0	61.0	0.0	0.0	17.0	291.0	0.0	15.0	29.0	278.0	301.0	1003.0	26.0	101.0	16.0	107.0	227.0	21.0	25.0	14.0	0.0	80.0	8.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0
ec59e4482e662cc58cf42928ad8a7da2	88.0	103.0	0.0	106.0	1361.0	2610.0	2124.0	0.0	7.0	0.0	19.0	0.0	18.0	11.0	175.0	170.0	406.0	39.0	0.0	0.0	0.0	132.0	36.0	21.0	43.0	28.0	66.0	60.0	510.0	2834.0	115.0	69.0	138.0	109.0	42.0	106.0	636.0	16.0	0.0	8.0	14.0	16.0
7e85ef9466fb5f7a142eaf7d4c1da581	120.0	61.0	100.0	29.0	25.0	0.0	18.0	228.0	1440.0	1207.0	141.0	167.0	516.0	37.0	415.0	83.0	190.0	0.0	2109.0	809.0	22.0	81.0	350.0	69.0	0.0	0.0	0.0	15.0	60.0	341.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	542.0	0.0	0.0	0.0
f39790644176c706d0c6a6dde8c16b26	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	694.0	94.0	2.0	541.0	0.0	0.0	0.0	0.0	0.0	3.0	46.0	0.0	6.0	6.0	0.0	2.0	0.0	0.0	0.0	11.0	3.0	0.0	0.0	0.0	32.0	0.0	0.0	7683.0	1.0	7.0	0.0	0.0
82891067d823d207ae093e36fc8ab15d	1001.0	252.0	587.0	16.0	522.0	0.0	15.0	2090.0	252.0	338.0	48.0	29.0	18.0	3.0	25.0	18.0	13.0	1602.0	467.0	1599.0	168.0	6.0	367.0	64.0	0.0	0.0	0.0	184.0	2.0	5.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	1231.0	0.0	0.0	0.0
68ad9109837aa1d7f5829eba629b22f3	23.0	187.0	4.0	68.0	65.0	0.0	15.0	152.0	0.0	3.0	9.0	0.0	0.0	5.0	0.0	4788.0	71.0	17.0	0.0	0.0	20.0	0.0	15.0	45.0	28.0	146.0	213.0	7.0	57.0	3.0	0.0	0.0	54.0	36.0	156.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0
