OTU_ID	SRR6367416	SRR6367417	SRR6367418	SRR6367419	SRR6367420	SRR6367421	SRR6367422	SRR6367423	SRR6367424	SRR6367425	SRR6367426	SRR6367427	SRR6367428	SRR6367429	SRR6367430	SRR6367431	SRR6367432	SRR6367433	SRR6367434	SRR6367435	SRR6367436	SRR6367437	SRR6367438	SRR6367439	SRR6367440	SRR6367441	SRR6367442	SRR6367443	SRR6367444	SRR6367445	SRR6367447	SRR6367448	SRR6367449	SRR6367450	SRR6367451	SRR6367452	SRR6367453	SRR6367454	SRR6367455	SRR6367456	SRR6367457	SRR6367458	SRR6367459	SRR6367460	SRR6367461	SRR6367462	SRR6367463
8aaff632665feefdd137e3fc338288c2	0.0	0.0	154.0	0.0	2379.0	1556.0	1524.0	2218.0	1218.0	1840.0	655.0	478.0	1787.0	361.0	193.0	29.0	0.0	0.0	0.0	58.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	273.0	38.0	0.0	55.0	0.0	32.0	0.0	377.0	904.0	1069.0	2965.0	66.0	49.0	63.0	0.0	8.0	68.0	2282.0	35.0
eb424acc9c9d4d1eca211aa7064d8984	97.0	250.0	193.0	41.0	16.0	12.0	17.0	66.0	1482.0	44.0	1353.0	30.0	97.0	874.0	62.0	41.0	3.0	10.0	4534.0	1280.0	187.0	355.0	1459.0	127.0	59.0	1371.0	41.0	1437.0	710.0	909.0	37.0	7.0	0.0	13.0	10.0	597.0	163.0	38.0	157.0	205.0	177.0	1212.0	601.0	166.0	648.0	32.0	624.0
88a466ae0cc00dd7217e2106f8cdc859	262.0	535.0	371.0	2257.0	905.0	153.0	1266.0	1031.0	49.0	703.0	581.0	674.0	407.0	500.0	197.0	178.0	157.0	271.0	0.0	49.0	65.0	143.0	49.0	176.0	358.0	253.0	1367.0	29.0	138.0	95.0	121.0	106.0	31.0	38.0	15.0	657.0	1267.0	1704.0	511.0	51.0	205.0	131.0	192.0	46.0	306.0	1599.0	589.0
cdbee4bce8b6c4799234b1539ed272e6	127.0	154.0	454.0	1015.0	134.0	316.0	681.0	1019.0	108.0	546.0	282.0	1355.0	1079.0	520.0	288.0	897.0	31.0	53.0	390.0	1564.0	119.0	224.0	640.0	170.0	0.0	43.0	126.0	1168.0	194.0	392.0	868.0	27.0	39.0	52.0	0.0	217.0	583.0	405.0	354.0	118.0	486.0	203.0	28.0	154.0	78.0	340.0	134.0
c5f4034866cfadd1fe1e2503287d6d33	56.0	0.0	161.0	0.0	49.0	64.0	172.0	224.0	182.0	156.0	0.0	219.0	303.0	105.0	112.0	1871.0	751.0	174.0	0.0	67.0	0.0	0.0	0.0	21.0	98.0	536.0	4350.0	25.0	72.0	130.0	1545.0	3243.0	723.0	1271.0	92.0	291.0	299.0	335.0	242.0	293.0	172.0	275.0	98.0	35.0	22.0	258.0	52.0
c66c82398333a5b033cfbc88f2deb5ce	230.0	281.0	197.0	117.0	95.0	55.0	51.0	54.0	164.0	70.0	322.0	67.0	47.0	339.0	148.0	97.0	161.0	63.0	84.0	625.0	1267.0	491.0	1294.0	524.0	136.0	18.0	77.0	398.0	1114.0	4245.0	73.0	35.0	61.0	0.0	0.0	55.0	622.0	170.0	542.0	407.0	227.0	136.0	239.0	461.0	865.0	60.0	928.0
458339bd3c86a788ff2e3337546b4822	310.0	391.0	355.0	328.0	16.0	0.0	17.0	42.0	1514.0	42.0	71.0	15.0	84.0	118.0	63.0	38.0	10.0	10.0	2330.0	593.0	189.0	730.0	2499.0	261.0	0.0	1360.0	74.0	1155.0	200.0	582.0	9.0	9.0	12.0	6.0	6.0	566.0	352.0	30.0	713.0	560.0	168.0	606.0	191.0	538.0	301.0	0.0	91.0
318af768528d0cc29a9d2b999e1100d7	115.0	10.0	298.0	9.0	152.0	267.0	2179.0	608.0	179.0	1163.0	0.0	572.0	562.0	701.0	304.0	48.0	0.0	37.0	12.0	227.0	21.0	0.0	13.0	0.0	0.0	22.0	12.0	104.0	62.0	190.0	1112.0	184.0	50.0	21.0	7.0	371.0	145.0	1367.0	573.0	195.0	219.0	87.0	35.0	0.0	0.0	7463.0	30.0
c9c38eb334ede6d90b2fca4e2b400cb2	0.0	0.0	253.0	0.0	401.0	790.0	839.0	1084.0	1468.0	2630.0	87.0	515.0	1176.0	201.0	199.0	28.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	121.0	144.0	631.0	87.0	32.0	50.0	0.0	357.0	251.0	1981.0	617.0	110.0	227.0	153.0	36.0	0.0	0.0	1410.0	0.0
df7eeed576818eec80d678e468fe4572	0.0	0.0	0.0	0.0	184.0	108.0	79.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	101.0	0.0	261.0	1624.0	0.0	0.0	0.0	0.0	0.0	0.0	1663.0	17.0	13.0	0.0	0.0	0.0	28.0	108.0	390.0	539.0	11075.0	0.0	12.0	81.0	0.0	0.0	16.0	8.0	0.0	0.0	0.0	237.0	0.0
