OTU_ID	SRR8284879	SRR8284880	SRR8284881	SRR8284882	SRR8284883	SRR8284884	SRR8284885	SRR8284886	SRR8284887	SRR8284888	SRR8284889	SRR8284890	SRR8284891	SRR8284892	SRR8284893	SRR8284894	SRR8284895	SRR8284896
517c69ebd458dcbb9810390661140f41	0.0	70.0	186.0	0.0	19.0	39.0	62.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0
c9ee48c0bf9a987373d73f0432918e5c	96.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	0.0	88.0	117.0	0.0	87.0	114.0	93.0	105.0	90.0
022ba4c091602d293147e463702aca6b	0.0	54.0	39.0	52.0	47.0	37.0	50.0	62.0	0.0	55.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0
b065d983bf9efd2a1dc405a2cbdb6456	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	176.0	69.0	0.0	52.0	76.0	74.0	85.0	52.0
0d699be0f43242c228b0c3fac44e8922	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	60.0	84.0	0.0	79.0	105.0	106.0	92.0	69.0
aa59106caadf0e17b68d70b42f461059	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.0	0.0	86.0	74.0	0.0	102.0	64.0	90.0	94.0	58.0
71661af5c4f7aa9c68e21352ac07d587	0.0	42.0	43.0	22.0	53.0	52.0	32.0	50.0	0.0	22.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0
c4e8f95c1f4ccc27326e171d8de26f10	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	85.0	63.0	0.0	71.0	85.0	83.0	59.0	89.0
8829a02ed0c08e677067931470a06964	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	87.0	78.0	0.0	56.0	66.0	75.0	87.0	83.0
69f4a081ef145d5845ca2f46859a53ed	0.0	56.0	33.0	27.0	29.0	20.0	35.0	32.0	0.0	40.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
e64983744b8ffbdb1970780cfcbe8472	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	61.0	0.0	48.0	51.0	66.0	90.0	56.0
